2015/01/16 10:28:09 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2015/01/16 10:28:09 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/01/16 10:28:09 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/01/16 10:28:09 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/01/16 10:28:09 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-1 
2015/01/16 10:28:09 INFO  - jmeter.services.FileServer: Stored: dev.csv 
2015/01/16 10:28:09 INFO  - jmeter.protocol.http.sampler.HTTPJavaImpl: Maximum connection retries = 10 
2015/01/16 10:29:09 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:29:09 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-1 
2015/01/16 10:29:09 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/01/16 10:29:09 INFO  - jmeter.services.FileServer: Close: dev.csv 
2015/01/16 10:29:09 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2015/01/16 10:29:47 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/01/16 10:29:47 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/01/16 10:29:47 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/01/16 10:29:47 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : SitemapBasedCsv Thread Group 
2015/01/16 10:29:47 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group SitemapBasedCsv Thread Group. 
2015/01/16 10:29:47 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/01/16 10:29:47 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2015/01/16 10:29:47 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/01/16 10:29:47 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/01/16 10:29:47 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-1 
2015/01/16 10:29:47 INFO  - jmeter.services.FileServer: Stored: dev.csv 
2015/01/16 10:29:54 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:29:54 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-1 
2015/01/16 10:29:54 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/01/16 10:29:54 INFO  - jmeter.services.FileServer: Close: dev.csv 
2015/01/16 10:29:54 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2015/01/16 10:30:06 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/01/16 10:30:06 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/01/16 10:30:06 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/01/16 10:30:06 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : SitemapBasedCsv Thread Group 
2015/01/16 10:30:06 INFO  - jmeter.engine.StandardJMeterEngine: Starting 100 threads for group SitemapBasedCsv Thread Group. 
2015/01/16 10:30:06 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/01/16 10:30:06 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 100 ramp-up 1 perThread 10.0 delayedStart=false 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-1 
2015/01/16 10:30:06 INFO  - jmeter.services.FileServer: Stored: dev.csv 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-2 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-3 
2015/01/16 10:30:06 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/01/16 10:30:06 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-4 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-5 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-6 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-7 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-8 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-9 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-10 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-11 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-12 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-13 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-14 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-15 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-16 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-17 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-18 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-19 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-20 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-21 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-22 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-23 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-23 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-5 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-24 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-24 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-25 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-25 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-26 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-26 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-27 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-27 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-28 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-28 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-29 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-29 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-30 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-30 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-31 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread finished: SitemapBasedCsv Thread Group 1-31 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-32 
2015/01/16 10:30:06 INFO  - jmeter.threads.JMeterThread: Stop Thread seen: org.apache.jorphan.util.JMeterStopThreadException: End of file detected 
