sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/fishery/fishtech/search/en,1,57,57,57,0.0,0.0,17.543859649122805,1339.2269736842104,78168.0
/fishery/search/en,1,55,55,55,0.0,0.0,18.18181818181818,368.7677556818182,20769.0
/fishery/introsp/351/en,1,654,654,654,0.0,0.0,1.529051987767584,29.16547209480122,19532.0
/fishery/vesseltype/10/en,1,351,351,351,0.0,0.0,2.849002849002849,70.11496171652422,25201.0
/fishery/countryprofiles/search/en,1,85,85,85,0.0,0.0,11.76470588235294,632.3988970588235,55044.0
/fishery/statistics/global-aquaculture-production/query/en,1,35,35,35,0.0,0.0,28.57142857142857,401.9810267857142,14407.0
/firms/resource/10050/en,1,1000,1000,1000,0.0,1.0,1.0,2.05078125,2100.0
/fishery/species/2497/en,1,232,232,232,0.0,0.0,4.310344827586206,140.89860587284483,33473.0
/fishery/psm/USA_1/en,1,221,221,221,0.0,0.0,4.524886877828055,101.49179864253394,22968.0
/firms/fishery/464/en,1,1,1,1,0.0,1.0,1000.0,1848.6328125,1893.0
/fishery/area/Area31/en,1,214,214,214,0.0,0.0,4.672897196261682,84.9974445093458,18626.0
/fi/website/css/FI_psm.css,10,4,3,8,1.469693845669907,1.0,0.009215460224691352,0.012716255173328982,1413.0
/fishery/psm/AUS_4/en,1,177,177,177,0.0,0.0,5.649717514124294,135.54356461864407,24567.0
/fishery/legalframework/nalo_cuba/fr,1,311,311,311,0.0,0.0,3.215434083601286,211.57807475884243,67380.0
/firms/en,1,999,999,999,0.0,1.0,1.001001001001001,2.052834084084084,2100.0
/fishery/cwp/handbook/M/en,1,194,194,194,0.0,0.0,5.154639175257732,101.99540914948453,20262.0
/fishery/psm/NZL_1/en,1,245,245,245,0.0,0.0,4.081632653061225,81.89174107142857,20545.0
/firms/resource/5/en,1,1000,1000,1000,0.0,1.0,1.0,2.05078125,2100.0
/favicon.ico,5,401,0,1001,489.4907557860516,1.0,0.008641727792487919,0.016694400311620707,1978.2
/fi/website/assets/images/favicon.png,104,272,0,1001,441.9001462719241,1.0,0.05972933422467878,0.09426372073262622,1616.0576923076924
/fi/website/css/FI_introsp.css,1,4,4,4,0.0,1.0,250.0,345.947265625,1417.0
/fi/website/css/FI_country.css,1,4,4,4,0.0,1.0,250.0,345.947265625,1417.0
/figis/scripts/openlayers/OpenLayers.js,2,31,31,31,0.0,0.0,0.02678846488701965,8.898767019046598,340159.0
/fi/website/css/FIRMS_resource.css,13,1002,1000,1032,8.40751988000304,1.0,0.008225932187946098,0.016869587494811336,2100.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=F1F85FF4E5BADB51B512263D0DA96CE5,1,4,4,4,0.0,0.0,250.0,222.900390625,913.0
/fi/website/css/FI_area.css,1,4,4,4,0.0,1.0,250.0,345.21484375,1414.0
/fi/website/css/FI_legalframework.css,1,3,3,3,0.0,1.0,333.3333333333333,463.54166666666663,1424.0
/fi/website/css/FIRMS_topic.css,3,1000,1000,1000,0.0,1.0,0.0016947792888932073,0.003475621588550523,2100.0
/fi/website/css/FI_advanced.css,1,5,5,5,0.0,1.0,200.0,276.953125,1418.0
/fishery/psm/AUS_1/en,1,157,157,157,0.0,0.0,6.369426751592357,138.65321457006368,22291.0
/figis/tseries/scripts/tseries_check.js,15,934,4,1001,248.57124174413676,1.0,0.010086793495766572,0.02024122629687585,2054.866666666667
/fi/website/css/FIRMS_head.css,20,1000,999,1001,0.5567764364377273,1.0,0.011312389951656503,0.02319923720554556,2100.0
/fishery/fishtech/1005/en,1,232,232,232,0.0,0.0,4.310344827586206,107.19036233836206,25465.0
/fi/website/css/FI_ontology.css,1,4,4,4,0.0,1.0,250.0,346.19140625,1418.0
/figis/geoserver/tunaatlas/rest/tuna/species,1,3,3,3,0.0,1.0,333.3333333333333,44.270833333333336,136.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=3EDA1EF8340D222621BFD7BAAD53E615,1,4,4,4,0.0,0.0,250.0,222.900390625,913.0
/figis/qrcode/fishery/fishtech/search/en,1,5,5,5,0.0,1.0,200.0,278.125,1424.0
/figis/moniker.jsonp.FigisMap.loadStaticMapData/figismapdata,21,383,0,1001,483.8020668716671,1.0,0.013393634451999446,0.02277241735649199,1741.047619047619
/__utm.gif,50,11001,11000,11047,6.482869735330878,1.0,0.0266019423674239,0.05484052767346861,2111.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=D93AA5EAED64BAFA7D1035E6C2831749,1,4,4,4,0.0,0.0,250.0,222.900390625,913.0
/figis/geoserver/tunaatlas/rest/tuna/gears,1,4,4,4,0.0,1.0,250.0,33.203125,136.0
/collect,90,11000,10999,11002,0.5356431402920352,1.0,0.04732931209474276,0.09757048616406444,2111.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=F61A10356FC8080D6B067EDE68F88A6C,1,0,0,0,0.0,1.0,0.0,0.0,1939.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=C4436B4CF48D78E98613F76B9FE942F2,1,6,6,6,0.0,0.0,166.66666666666666,148.60026041666666,913.0
/figis/qrcode/fishery/vesseltype/10/en,1,21,21,21,0.0,1.0,47.61904761904761,66.12723214285714,1422.0
/figis/scripts/openlayers/theme/default/style.css,1,36,36,36,0.0,0.0,27.777777777777775,105.63151041666667,3894.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=C2547191C6612CC101A5496B23FC80CE,1,3,3,3,0.0,0.0,333.3333333333333,297.2005208333333,913.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=BDB92013B7BEBBE154931F0975B5CC52,1,4,4,4,0.0,0.0,250.0,222.900390625,913.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=2765234B10A6EF001CB68868915F1B9A,1,3,3,3,0.0,0.0,333.3333333333333,297.2005208333333,913.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=92A0C324709566455A67BD70D9245B81,1,3,3,3,0.0,0.0,333.3333333333333,297.2005208333333,913.0
/figis/servlet/ServerFileServlet,5,30,15,57,18.004443895883036,0.0,0.007912606839973857,0.12988111407130523,16808.4
/figis/servlet/IRS,52,526,0,1001,491.91429406666015,0.6153846153846154,0.03036455568771923,0.16813243621399537,5670.0192307692305
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=8643D27BE62AE1CC22E46DC68D72792D,1,4,4,4,0.0,0.0,250.0,222.900390625,913.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=FA86019425C8E34D58EEAA672B8A7DB2,1,3,3,3,0.0,0.0,333.3333333333333,297.2005208333333,913.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=4BAC8CFAFD2DDD9CBF684C331AC8DFEA,1,3,3,3,0.0,0.0,333.3333333333333,297.2005208333333,913.0
/fishery/species/3393/en,2,195,134,256,61.0,0.0,0.0031911872173804824,0.09056551926200604,29061.0
/fishery/species/2153/en,1,554,554,554,0.0,0.0,1.8050541516245489,53.29140342960288,30232.0
/fi/website/FIRetrieveAction.do,2,433,172,694,261.0,0.0,0.0012151672313143735,0.032410788497713054,27312.0
/fishery/rfb/ccamlr/en,1,862,862,862,0.0,0.0,1.160092807424594,25.111930829466356,22166.0
/fishery/equipment/backdownmanoeuvre/en,1,487,487,487,0.0,0.0,2.053388090349076,41.516940451745384,20704.0
/figis/qrcode/fishery/search/en,1,16,16,16,0.0,1.0,62.5,86.36474609375,1415.0
/fishery/geartype/203/en,1,259,259,259,0.0,0.0,3.8610038610038613,84.94208494208495,22528.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=E0A7228878015265C433175FB0044CEC,1,4,4,4,0.0,0.0,250.0,222.900390625,913.0
/figis/qrcode/fishery/introsp/351/en,1,23,23,23,0.0,1.0,43.47826086956522,60.29211956521739,1420.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=6A847FCDB17B42958AEC82C4731F0A05,1,0,0,0,0.0,1.0,0.0,0.0,1939.0
/figis/geoserver/wfs,17,484,4,1001,487.0576086941371,1.0,0.01207345204140768,0.012500683570446461,1060.235294117647
/figis/website/assets/images/templates/firms/corner_true.gif,3,1000,1000,1002,0.9428090415752035,1.0,0.0019382524457515443,0.003974931773513909,2100.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=264D181E4A55DD9BF4292350C63B5835,1,0,0,0,0.0,1.0,0.0,0.0,1939.0
/fishery/culturedspecies/Lates_calcarifer/en,1,253,253,253,0.0,0.0,3.952569169960474,306.0268959980237,79283.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=54C6847265C56B488520B9047983F986,1,4,4,4,0.0,0.0,250.0,222.900390625,913.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=6F07179758C213CC56F5AE7019A9A508,1,2,2,2,0.0,0.0,500.0,445.80078125,913.0
/fi/website/css/FI_culturespecies.css,2,8,6,11,2.5,1.0,0.017371666811430556,0.024157474159645618,1424.0
/fishery/website/html/widget-fishstat-aquaculture-quantity-per-species.html,63,15,0,56,7.757667555115495,0.07936507936507936,0.046263794688622635,0.12457992543267662,2757.4444444444443
/firms/fishery/360/en,1,1000,1000,1000,0.0,1.0,1.0,2.05078125,2100.0
/fishery/website/html/widget-fishstat-capture-quantity-per-species.html,63,15,0,54,6.937070915368937,0.06349206349206349,0.04709463479979547,0.12703549973014028,2762.190476190476
/fi/website/css/FIRMS_fishery.css,4,1000,1000,1001,0.5,1.0,0.006216025535432899,0.012747708617587,2100.0
/firms/fishery/486/en,1,1000,1000,1000,0.0,1.0,1.0,2.05078125,2100.0
/figis/qrcode/fishery/legalframework/nalo_cuba/fr,1,21,21,21,0.0,1.0,47.61904761904761,66.63876488095238,1433.0
/figis/qrcode/fishery/cwp/handbook/M/en,1,19,19,19,0.0,1.0,52.63157894736842,73.13939144736842,1423.0
/figis/qrcode/firms/en,1,1000,1000,1000,0.0,1.0,1.0,2.05078125,2100.0
/figis/qrcode/fishery/countryprofiles/search/en,1,24,24,24,0.0,1.0,41.666666666666664,58.2275390625,1431.0
/figis/qrcode/firms/resource/10050/en,1,1001,1001,1001,0.0,1.0,0.999000999000999,2.0487325174825175,2100.0
/figis/geoserver/wms,194,753,0,1001,425.0365152831595,1.0,0.15125667790436212,0.23829307301916128,1613.2319587628865
/figis/qrcode/fishery/fishtech/1005/en,1,16,16,16,0.0,1.0,62.5,86.7919921875,1422.0
/figis/qrcode/fishery/psm/USA_1/en,1,21,21,21,0.0,1.0,47.61904761904761,65.94122023809524,1418.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=BBA139A1A017DD35BAD9082052D4630C,1,3,3,3,0.0,0.0,333.3333333333333,297.2005208333333,913.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=00CF749C3E46FA066A3BE7B57D826B3C,1,3,3,3,0.0,0.0,333.3333333333333,297.2005208333333,913.0
/figis/qrcode/fishery/area/Area31/en,1,19,19,19,0.0,1.0,52.63157894736842,72.98519736842105,1420.0
/figis/qrcode/fishery/species/2497/en,1,0,0,0,0.0,1.0,0.0,0.0,1939.0
/figis/qrcode/fishery/geartype/203/en,1,16,16,16,0.0,1.0,62.5,86.73095703125,1421.0
/fi/figis/equipment/format/style.css,1,13,13,13,0.0,1.0,76.92307692307693,107.72235576923077,1434.0
/figis/website/html/widget-fishstat-aquaculture-quantity-per-species.html,1,19,19,19,0.0,0.0,52.63157894736842,145.35361842105263,2828.0
/developers/widgets/0.2.6/scripts/library.js,1,2002,2002,2002,0.0,1.0,0.4995004995004995,1.0238784652847155,2099.0
/developers/widgets/0.2.6/scripts/jQuery.js,1,2001,2001,2001,0.0,1.0,0.49975012493753124,1.0243901486756621,2099.0
/fishery/psm/MCO_1/fr,1,0,0,0,0.0,1.0,0.0,0.0,1939.0
/figis/qrcode/fishery/culturedspecies/Lates_calcarifer/en,1,17,17,17,0.0,1.0,58.8235294117647,82.77803308823529,1441.0
/fishery/rfb/neafc/en,1,900,900,900,0.0,0.0,1.1111111111111112,23.333333333333332,21504.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=773BC86E097AA8E5B9AC8576BA29914E,1,3,3,3,0.0,0.0,333.3333333333333,297.2005208333333,913.0
/fishery/statistics/global-aquaculture-production/en,1,182,182,182,0.0,0.0,5.4945054945054945,137.7167754120879,25666.0
/firms/resource/10169/en,1,1000,1000,1000,0.0,1.0,1.0,2.05078125,2100.0
/developers/widgets/0.2.6/scripts/css/jquery-ui.css,1,2000,2000,2000,0.0,1.0,0.5,1.02490234375,2099.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=42D9C05A05811887647BB1C19DEE424C,1,3,3,3,0.0,0.0,333.3333333333333,297.2005208333333,913.0
/fi/website/css/FI_collection.css,2,7,5,10,2.5,1.0,0.024847807181016274,0.03445692011429991,1420.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=635544CBFA458DE254D13EF55F8B0C73,1,4,4,4,0.0,0.0,250.0,222.900390625,913.0
/developers/widgets/0.2.6/scripts/jQuery-ui.js,1,2000,2000,2000,0.0,1.0,0.5,1.02490234375,2099.0
/developers/widgets/0.2.6/scripts/css/default/widgets.css,1,2001,2001,2001,0.0,1.0,0.49975012493753124,1.0243901486756621,2099.0
/figis/qrcode/fishery/equipment/backdownmanoeuvre/en,1,24,24,24,0.0,1.0,41.666666666666664,58.43098958333333,1436.0
/developers/widgets/0.2.6/scripts/widgets.js,1,2000,2000,2000,0.0,1.0,0.5,1.02490234375,2099.0
/developers/widgets/0.2.6/scripts/localization.js,1,2000,2000,2000,0.0,1.0,0.5,1.02490234375,2099.0
/developers/widgets/0.2.6/scripts/data.js,1,2001,2001,2001,0.0,1.0,0.49975012493753124,1.0243901486756621,2099.0
/figis/qrcode/fishery/psm/NZL_1/en,1,15,15,15,0.0,1.0,66.66666666666667,92.31770833333334,1418.0
/developers/widgets/0.2.6/scripts/highcharts.js,1,2001,2001,2001,0.0,1.0,0.49975012493753124,1.0243901486756621,2099.0
/developers/widgets/0.2.6/scripts/raphael.js,1,2000,2000,2000,0.0,1.0,0.5,1.02490234375,2099.0
/developers/widgets/0.2.6/scripts/charts.js,1,2001,2001,2001,0.0,1.0,0.49975012493753124,1.0243901486756621,2099.0
/developers/widgets/0.2.6/scripts/css/ui.jqgrid.css,1,2000,2000,2000,0.0,1.0,0.5,1.02490234375,2099.0
/developers/widgets/0.2.6/scripts/jqGrid.js,1,2000,2000,2000,0.0,1.0,0.5,1.02490234375,2099.0
/developers/widgets/0.2.6/scripts/datagrid.js,1,2000,2000,2000,0.0,1.0,0.5,1.02490234375,2099.0
