2015/01/09 09:18:22 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/01/09 09:18:22 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2015/01/09 09:18:22 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2015/01/09 09:18:24 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'C:\Program Files\Java\jre8\bin\keytool' 
2015/01/09 09:18:24 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file C:\ErikProgramFiles\apache-jmeter-2.11\bin\proxyserver.jks 
2015/01/09 09:18:27 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/01/09 09:18:27 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/01/09 09:18:27 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/01/09 09:18:27 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2015/01/09 09:19:24 INFO  - jmeter.services.FileServer: Default base='C:\Users\vaningen\git\figis\jmeter\2 figisCacheBugAnalysis' 
2015/01/09 09:19:24 INFO  - jmeter.gui.action.Load: Loading file: C:\Users\vaningen\git\figis\jmeter\1 year 2014\vme-factsheets\dev.jmx 
2015/01/09 09:19:24 INFO  - jmeter.services.FileServer: Set new base='C:\Users\vaningen\git\figis\jmeter\1 year 2014\vme-factsheets' 
2015/01/09 09:19:24 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2015/01/09 09:19:24 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2015/01/09 09:19:24 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.6 
2015/01/09 09:19:24 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1554411 
2015/01/09 09:19:24 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2015/01/09 09:19:24 INFO  - jmeter.services.FileServer: Set new base='C:\Users\vaningen\git\figis\jmeter\1 year 2014\vme-factsheets' 
2015/01/09 09:19:45 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2015/01/09 09:19:45 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2015/01/09 09:19:45 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/01/09 09:19:45 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/01/09 09:19:45 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/01/09 09:19:45 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/01/09 09:19:45 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : SitemapBasedCsv Thread Group 
2015/01/09 09:19:45 INFO  - jmeter.engine.StandardJMeterEngine: Starting 100 threads for group SitemapBasedCsv Thread Group. 
2015/01/09 09:19:45 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/01/09 09:19:45 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 100 ramp-up 1 perThread 10.0 delayedStart=false 
2015/01/09 09:19:45 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2015/01/09 09:19:45 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/01/09 09:19:45 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-1 
2015/01/09 09:19:45 INFO  - jmeter.services.FileServer: Stored: dev_vme_url.csv 
2015/01/09 09:19:45 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-2 
2015/01/09 09:19:45 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-3 
2015/01/09 09:19:45 INFO  - jmeter.protocol.http.sampler.HTTPJavaImpl: Maximum connection retries = 10 
2015/01/09 09:19:45 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-4 
2015/01/09 09:19:45 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/01/09 09:19:45 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/01/09 09:19:45 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-5 
2015/01/09 09:19:45 INFO  - jmeter.threads.JMeterThread: Thread started: SitemapBasedCsv Thread Group 1-6 
